"id","created_at","updated_at","user_id","account_type","account_number","balance","interest_rate","status"
"1","2025-03-25 14:49:04.199546","2025-03-25 14:49:04.199546","1","checking","3522574193115935","24490.554256864016","0","active"
"2","2025-03-25 14:49:04.200547","2025-03-25 14:49:04.200547","1","savings","3543312810060308","71123.45025785214","1.5941766234356416","active"
"3","2025-03-25 14:49:04.434967","2025-03-25 14:49:04.434967","2","checking","180091137445194","48138.08630450693","0","active"
"4","2025-03-25 14:49:04.434967","2025-03-25 14:49:04.434967","2","savings","4930909371415","28868.611288499218","1.7226145741586802","active"
"5","2025-03-25 14:49:04.670454","2025-03-25 14:49:04.670454","3","checking","4589839186405173","32074.59616959494","0","active"
"6","2025-03-25 14:49:04.670454","2025-03-25 14:49:04.670454","3","savings","4681743439454701439","38616.34694909383","2.405746203035338","active"
"7","2025-03-25 14:49:04.931593","2025-03-25 14:49:04.931593","4","checking","213135489383007","11837.997822802385","0","active"
"8","2025-03-25 14:49:04.932568","2025-03-25 14:49:04.932568","4","savings","4020140303203934792","90175.42740380367","0.9250371171906728","active"
"9","2025-03-25 14:49:05.168890","2025-03-25 14:49:05.168890","5","checking","3578789399424781","11576.617692944332","0","active"
"10","2025-03-25 14:49:05.168890","2025-03-25 14:49:05.168890","5","savings","3524013812411159","69528.0459637701","0.8821661265930194","active"
